"This document is based on ‘Duravolt Plug-In thuisbatterij 485 protocol v1.1’, available from https://duravolt.nl/wp-content/uploads/Duravolt-Plug-in-Battery-Modbus.pdf (checked on 14-08-2025).
Changes made to the document are highlighted in red (except for typo’s). Scans are made on firmware v153 and BMS v213.",,,,,,,,,
,,,,,,,,,
Protocol specification:,,,,,,,,,
Standard Modbus RTU Protocol,,,,,,,,,
Modbus default Address: 1,,,,,,,,,
"baud:115200, 8bit, No parity bit, 1bit Stopbit",,,,,,,,,
"Quirk: If register contains more than 2 bytes of data, data should be read in one function call instead of consecutive calls to consecutive registers or it will be invalid. Therefore if any data is present, one can deduct where a range must be split. If data is zeroes, the range is left and appended with a ‘?’.",,,,,,,,,
,,,,,,,,,
Version,Date,,Change,,,,,,
v2.0,07/11/25,,Create document based on Duravolt document,,,,,,
v2.1,07/16/25,,"Added registers 30001, 30002, 30004, 30005, 30006, 30008, 30009, 30010, 30300, 30301, 30302, 30303, 37004, 37005, 37006, 37007, 37008, 41010. Added notes on 30007, 30100, 30600, 36101, 37013",,,,,,
,,,,,,,,,
,,,,,,,,,
v2.2,08/14/25,,"Added observerations for some unknown registers. Changed error registers based on educated guesses. Identified register 41001. Added notes for registers 41500, 41516, 43000, 45603, 45604.",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Function,ID (DEC),ID (HEX),Name,Bytes,Value type,Gain / Unit,Description,Read out,Meaning
,33006,80EE,Daily discharging energy,4,u32,"0,01 kWh",Updated daily at 00:00,2000 (DEC),20 kWh
,33008,80F0,Monthly charging energy,4,u32,"0,01 kWh",Updated on 1st of each month,10000 (DEC),100 kWh
,33010,80F2,Monthly discharging energy,4,u32,"0,01 kWh",Updated on 1st of each month,10000 (DEC),100 kWh
,35000,88B8,Internal temperature,2,s16,"0,1 °C",,373 (DEC),"37,3 °C"
,35001,88B9,Internal MOS1 temperature,2,s16,"0,1 °C",,257 (DEC),"25,7 °C"
,35002,88BA,Internal MOS2 temperature,2,s16,"0,1 °C",,257 (DEC),"25,7 °C"
,35010,88C2,Max cell temperature,2,s16,"0,1 °C",Unit: BMS v213: 1°C,-32 (DEC),"-3,2 °C"
,35011,88C3,Min cell temperature,2,s16,"0,1 °C",Unit: BMS v213: 1°C,400 (DEC),40 °C
,35100,891C,Inverter state,2,u16,/,"0:sleep, 1:stand-by, 2:charge, 3:discharge, 4:backup mode, 5:OTA upgrade, 6:bypass",2,Charge
,35110,8926,Battery charge voltage limit,2,u16,"0,1 V","Typically: 57,1 V",120 (DEC),12 V
,35111,8927,Battery charge current limit,2,u16,"0,1 A",,50 (DEC),5 A
,35112,8928,Battery discharge current limit,2,u16,"0,1 A",,50 (DEC),5 A
,36000,8CA0,Unknown,2,unknown,unknown,Alarm/fault register,,
,36001,8CA1,Unknown,2,unknown,unknown,Alarm/fault register,,
,36100,8D04,Alarm word,2,bit,/,"See below (educated guess, see notes below)",,
,,,PLL Abnormal restart,0,bit,/,"0:normal, 1:abnormal",,
,,,Overtemperature limit,1,bit,/,"0:normal, 1:abnormal",,
,,,Low temperature limit,2,bit,/,"0:normal, 1:abnormal",,
,,,Fan abnormal warning,3,bit,/,"0:normal, 1:abnormal",,
,,,Low battery SoC warning,4,bit,/,"0:normal, 1:abnormal",,
,,,Output overcurrent warning,5,bit,/,"0:normal, 1:abnormal",,
,,,Abnormal line sequence detection,6,bit,/,"0:normal, 1:abnormal",,
,36101,8D05,Fault word,2,bit,/,"See below (educated guess, see notes below)",,
,,,Hardware bus overvoltage,0,bit,/,"0:normal, 1:abnormal",,
,,,Hardware output overcurrent,1,bit,/,"0:normal, 1:abnormal",,
,,,Hardware trans overcurrent,2,bit,/,"0:normal, 1:abnormal",,
,,,Hardware battery overcurrent,3,bit,/,"0:normal, 1:abnormal",,
,,,Hardware protection,4,bit,/,"0:normal, 1:abnormal",,
,,,Output overcurrent warning,5,bit,/,"0:normal, 1:abnormal",,
,,,High voltage bus overvoltage,6,bit,/,"0:normal, 1:abnormal",,
,,,High voltage bus undervoltage,7,bit,/,"0:normal, 1:abnormal",,
,,,Overpower protection,8,bit,/,"0:normal, 1:abnormal",,
,,,FSM abnormal,9,bit,/,"0:normal, 1:abnormal",,
,,,Overtemperature protection,10,bit,/,"0:normal, 1:abnormal",,
,,,Inverter soft start timeout,11,bit,/,"0:normal, 1:abnormal",,
,36102,8D06,Unknown,2,unknown,unknown,Alarm/fault register,,
,36103,8D07,Fault word,1,bit,/,"See below (educated guess, see notes below)",,
,,,Battery overvoltage,0,bit,/,"0:normal, 1:abnormal",,
,,,Battery undervoltage,1,bit,/,"0:normal, 1:abnormal",,
